[2024-11-21 17:34:31,449] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=kRauptdx_Is
[2024-11-21 17:37:48,075] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=dj4VoPO-2pE
[2024-11-21 17:37:50,324] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=dj4VoPO-2pE
[2024-11-21 17:41:47,761] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=r6zIGXun57U
[2024-11-21 17:41:51,126] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=r6zIGXun57U
[2024-11-21 17:44:53,133] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=i1IKnWDecwA
[2024-11-21 17:44:57,060] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=i1IKnWDecwA
[2024-11-21 17:48:28,282] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=AnMhdn0wJ4I
[2024-11-21 17:48:31,963] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=AnMhdn0wJ4I
[2024-11-21 17:52:03,765] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=3VTkBuxU4yk
[2024-11-21 17:52:07,162] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=3VTkBuxU4yk
[2024-11-21 17:52:35,626] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7502 in on_disconnect: MusicBot has become disconnected.
[2024-11-21 17:52:36,423] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2017 in on_resumed: MusicBot resumed a session with discord.
[2024-11-21 17:52:36,424] INFO - musicbot.bot | In bot.py::MainThread(12096), line 470 in _auto_join_channels: Checking for channels to auto-join or resume...
[2024-11-21 17:52:36,424] INFO - musicbot.bot | In bot.py::MainThread(12096), line 490 in _auto_join_channels: Found resumable voice channel:  lol  in guild:  Shibe on top
[2024-11-21 17:52:36,424] INFO - musicbot.bot | In bot.py::MainThread(12096), line 540 in _auto_join_channels: Already connected to channel:  lol  in guild:  Shibe on top
[2024-11-21 17:52:36,425] INFO - musicbot.bot | In bot.py::MainThread(12096), line 605 in _auto_join_channels: Finished joining configured channels.
